iter	Passed	Remaining
0	57	57328
1	57	28781
2	58	19307
3	58	14560
4	58	11699
5	59	9798
6	59	8443
7	59	7423
8	60	6633
9	60	5992
10	60	5468
11	61	5033
12	61	4674
13	61	4359
14	62	4096
15	62	3860
16	63	3648
17	63	3458
18	63	3288
19	63	3134
20	64	2994
21	64	2867
22	64	2756
23	65	2649
24	65	2551
25	65	2461
26	65	2376
27	66	2300
28	66	2232
29	67	2167
30	67	2104
31	67	2045
32	67	1989
33	68	1938
34	68	1888
35	68	1841
36	69	1797
37	69	1756
38	69	1716
39	69	1678
40	70	1641
41	70	1607
42	70	1575
43	71	1544
44	71	1515
45	71	1488
46	72	1460
47	72	1434
48	72	1409
49	72	1385
50	73	1363
51	73	1341
52	73	1321
53	74	1300
54	74	1282
55	75	1265
56	75	1248
57	75	1230
58	76	1212
59	76	1196
60	76	1180
61	76	1164
62	77	1148
63	77	1133
64	77	1118
65	78	1104
66	78	1090
67	78	1077
68	78	1063
69	79	1051
70	79	1040
71	79	1028
72	80	1017
73	80	1005
74	80	994
75	80	983
76	81	973
77	81	963
78	81	954
79	82	944
80	82	934
81	82	925
82	82	914
83	83	906
84	83	897
85	83	890
86	84	882
87	84	874
88	84	867
89	85	859
90	85	852
91	85	845
92	85	838
93	86	831
94	86	825
95	86	818
96	87	811
97	87	805
98	87	799
99	88	799
100	89	793
101	89	788
102	89	782
103	90	777
104	90	771
105	90	766
106	91	760
107	91	755
108	91	750
109	92	745
110	92	740
111	92	735
112	92	729
113	93	725
114	93	720
115	93	716
116	94	711
117	94	706
118	94	702
119	95	697
120	95	693
121	95	689
122	96	685
123	96	681
124	96	677
125	97	673
126	97	669
127	97	666
128	98	662
129	98	658
130	98	654
131	98	650
132	99	647
133	99	643
134	100	641
135	100	638
136	100	635
137	101	632
138	101	629
139	101	625
140	102	622
141	102	618
142	102	615
143	102	611
144	103	608
145	103	605
146	103	602
147	104	599
148	104	596
149	104	593
150	104	590
151	105	587
152	105	584
153	105	581
154	106	579
155	106	576
156	106	573
157	107	571
158	107	568
159	107	565
160	107	562
161	108	559
162	108	556
163	108	554
164	108	551
165	109	549
166	109	546
167	109	544
168	110	541
169	110	539
170	110	537
171	111	534
172	111	532
173	111	530
174	111	527
175	112	525
176	112	522
177	112	520
178	113	519
179	113	517
180	113	515
181	114	513
182	114	510
183	114	508
184	114	506
185	115	504
186	115	501
187	115	499
188	115	497
189	116	495
190	116	493
191	116	491
192	116	488
193	117	486
194	117	484
195	117	482
196	117	480
197	118	478
198	118	476
199	118	474
200	118	472
201	119	470
202	119	468
203	119	466
204	119	464
205	120	463
206	120	461
207	120	459
208	120	457
209	121	455
210	121	453
211	121	452
212	121	450
213	122	448
214	122	447
215	122	445
216	122	443
217	123	441
218	123	440
219	123	438
220	123	436
221	124	434
222	124	433
223	124	431
224	124	430
225	125	428
226	125	427
227	125	425
228	125	423
229	126	422
230	126	420
231	126	419
232	126	417
233	127	416
234	127	414
235	127	413
236	127	411
237	128	410
238	128	408
239	128	407
240	128	405
241	129	404
242	129	402
243	129	401
244	129	400
245	130	398
246	130	397
247	130	396
248	130	394
249	131	393
250	131	391
251	131	390
252	131	389
253	132	387
254	132	386
255	132	385
256	132	384
257	133	382
258	133	381
259	133	380
260	133	378
261	134	377
